************************************************************************************************************************************************

2020-09-12 19:08:19
Starting photon ID training BDT

featFilePath	=	dataV2/mergedSamples.root
featTreeName	=	fullEBTree
indexFilePath	=	dataV2/mergedSamplesShuffledIndices.root
indexTreeName	=	randomized_split
saveDir		=	trainingV2/
logFile		=	trainingV2//trainingLog_2020_09_12_19_08_19.log

BDT input features (15) :
['pho2x2OE3x3Full5x5', 'phoE1x3OESCrFull5x5', 'phoE2ndOESCrFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']

Training with params:
{'objective': 'binary:logistic', 'eval_metric': 'auc', 'booster': 'gbtree', 'sampling_method': 'gradient_based', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'verbosity': 1, 'nthread': -1, 'seed': 6623853, 'scale_pos_weight': 1.0, 'max_depth': 4, 'min_child_weight': 5140, 'alpha': 572.9, 'lambda': 18.0, 'gamma': 87.45, 'subsample': 0.28, 'colsample_bytree': 0.67, 'eta': 0.0395}



Total data:
Total Events	=	61970811 (B/S= 51775921 / 10194890)
BackgroundSumW/SignalSumW 	=	269189226389.518951 / 53004456496.799980	=	5.078615

Training data:
Total Events	=	24782828 (B/S= 20704871 / 4077957)
BackgroundSumW/SignalSumW 	=	107648148835.787308 / 21429305093.572678	=	5.023408

Validation data:
Total Events	=	18597782 (B/S= 15539211 / 3058571)
BackgroundSumW/SignalSumW 	=	80802652594.335159 / 15699627885.225983	=	5.146788

Test data:
Total Events	=	18590201 (B/S= 15531839 / 3058362)
[202]	train-auc:0.99478	test-auc:0.99446	validation-auc:0.99440
[203]	train-auc:0.99479	test-auc:0.99446	validation-auc:0.99440
[204]	train-auc:0.99480	test-auc:0.99447	validation-auc:0.99441
[205]	train-auc:0.99480	test-auc:0.99448	validation-auc:0.99442
[206]	train-auc:0.99482	test-auc:0.99449	validation-auc:0.99443
[207]	train-auc:0.99483	test-auc:0.99450	validation-auc:0.99444
[208]	train-auc:0.99484	test-auc:0.99451	validation-auc:0.99445
[209]	train-auc:0.99484	test-auc:0.99451	validation-auc:0.99445
[210]	train-auc:0.99486	test-auc:0.99453	validation-auc:0.99447
[211]	train-auc:0.99486	test-auc:0.99453	validation-auc:0.99447
[212]	train-auc:0.99487	test-auc:0.99454	validation-auc:0.99448
[213]	train-auc:0.99488	test-auc:0.99454	validation-auc:0.99448
[214]	train-auc:0.99489	test-auc:0.99455	validation-auc:0.99449
[215]	train-auc:0.99489	test-auc:0.99455	validation-auc:0.99449
[216]	train-auc:0.99490	test-auc:0.99456	validation-auc:0.99450
[217]	train-auc:0.99490	test-auc:0.99456	validation-auc:0.99450
[218]	train-auc:0.99491	test-auc:0.99457	validation-auc:0.99451
[219]	train-auc:0.99491	test-auc:0.99457	validation-auc:0.99451
[220]	train-auc:0.99493	test-auc:0.99459	validation-auc:0.99453
[221]	train-auc:0.99494	test-auc:0.99459	validation-auc:0.99453
[222]	train-auc:0.99495	test-auc:0.99461	validation-auc:0.99455
[223]	train-auc:0.99496	test-auc:0.99462	validation-auc:0.99456
[224]	train-auc:0.99497	test-auc:0.99462	validation-auc:0.99456
[225]	train-auc:0.99497	test-auc:0.99462	validation-auc:0.99456
[226]	train-auc:0.99497	test-auc:0.99463	validation-auc:0.99457
[227]	train-auc:0.99499	test-auc:0.99464	validation-auc:0.99458
[228]	train-auc:0.99500	test-auc:0.99465	validation-auc:0.99459
[229]	train-auc:0.99501	test-auc:0.99466	validation-auc:0.99460
[230]	train-auc:0.99501	test-auc:0.99466	validation-auc:0.99460
[231]	train-auc:0.99502	test-auc:0.99467	validation-auc:0.99461
