************************************************************************************************************************************************

2020-09-10 23:04:13
Starting photon ID training BDT

featFilePath	=	dataV2/mergedSamples.root
featTreeName	=	fullEBTree
indexFilePath	=	dataV2/mergedSamplesShuffledIndices.root
indexTreeName	=	randomized_split
saveDir		=	training/
logFile		=	training//trainingLog_2020_09_10_23_04_13.log

BDT input features (18) :
['pho2x2OE3x3Full5x5', 'phoE1x3OESCrFull5x5', 'phoE2ndOE3x3Full5x5', 'phoE2ndOESCrFull5x5', 'phoE2ndOEmaxFull5x5', 'phoE2x5OESCrFull5x5', 'phoE5x5OESCrFull5x5', 'phoEmaxOE3x3Full5x5', 'phoEmaxOESCrFull5x5', 'phoEtaWOPhiWFull5x5', 'phoEtaWidth', 'phoPhiWidth', 'phoR9Full5x5', 'phoS4Full5x5', 'phoSieieOSipipFull5x5', 'phoSigmaIEtaIEta', 'phoSigmaIEtaIPhi', 'phoSigmaIPhiIPhi']

Training with params:
{'objective': 'binary:logistic', 'eval_metric': 'auc', 'booster': 'gbtree', 'sampling_method': 'gradient_based', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'verbosity': 1, 'nthread': -1, 'seed': 5689865, 'scale_pos_weight': 0.96, 'max_depth': 6, 'min_child_weight': 6521, 'alpha': 546, 'lambda': 41.6, 'gamma': 28.0, 'subsample': 0.29, 'colsample_bytree': 0.66, 'eta': 0.0466}



Total data:
Total Events	=	61970811 (B/S= 51775921 / 10194890)
BackgroundSumW/SignalSumW 	=	269189226389.518951 / 53004456496.799980	=	5.078615

Training data:
Total Events	=	24782828 (B/S= 20704871 / 4077957)
BackgroundSumW/SignalSumW 	=	107648148835.786835 / 21429305093.572662	=	5.023408

Validation data:
Total Events	=	18597782 (B/S= 15539211 / 3058571)
BackgroundSumW/SignalSumW 	=	80802652594.335129 / 15699627885.225969	=	5.146788

Test data:
Total Events	=	18590201 (B/S= 15531839 / 3058362)
[144]	train-auc:0.99606	test-auc:0.99548	validation-auc:0.99537
[145]	train-auc:0.99607	test-auc:0.99549	validation-auc:0.99538
[146]	train-auc:0.99607	test-auc:0.99549	validation-auc:0.99538
[147]	train-auc:0.99608	test-auc:0.99550	validation-auc:0.99538
[148]	train-auc:0.99609	test-auc:0.99551	validation-auc:0.99539
[149]	train-auc:0.99610	test-auc:0.99551	validation-auc:0.99540
[150]	train-auc:0.99610	test-auc:0.99552	validation-auc:0.99540
[151]	train-auc:0.99611	test-auc:0.99552	validation-auc:0.99540
[152]	train-auc:0.99611	test-auc:0.99553	validation-auc:0.99541
[153]	train-auc:0.99613	test-auc:0.99554	validation-auc:0.99542
[154]	train-auc:0.99613	test-auc:0.99554	validation-auc:0.99543
[155]	train-auc:0.99614	test-auc:0.99555	validation-auc:0.99544
[156]	train-auc:0.99615	test-auc:0.99556	validation-auc:0.99544
[157]	train-auc:0.99616	test-auc:0.99556	validation-auc:0.99545
[158]	train-auc:0.99616	test-auc:0.99557	validation-auc:0.99545
[159]	train-auc:0.99617	test-auc:0.99557	validation-auc:0.99546
[160]	train-auc:0.99618	test-auc:0.99558	validation-auc:0.99546
[161]	train-auc:0.99618	test-auc:0.99559	validation-auc:0.99547
[162]	train-auc:0.99618	test-auc:0.99559	validation-auc:0.99547
[163]	train-auc:0.99619	test-auc:0.99560	validation-auc:0.99548
[164]	train-auc:0.99620	test-auc:0.99560	validation-auc:0.99549
[165]	train-auc:0.99621	test-auc:0.99561	validation-auc:0.99550
[166]	train-auc:0.99622	test-auc:0.99562	validation-auc:0.99550
[167]	train-auc:0.99623	test-auc:0.99562	validation-auc:0.99550
[168]	train-auc:0.99624	test-auc:0.99563	validation-auc:0.99551
[169]	train-auc:0.99625	test-auc:0.99564	validation-auc:0.99552
[170]	train-auc:0.99625	test-auc:0.99564	validation-auc:0.99552
[171]	train-auc:0.99626	test-auc:0.99565	validation-auc:0.99553
[172]	train-auc:0.99627	test-auc:0.99565	validation-auc:0.99553
[173]	train-auc:0.99627	test-auc:0.99565	validation-auc:0.99554
[174]	train-auc:0.99628	test-auc:0.99566	validation-auc:0.99554
[175]	train-auc:0.99629	test-auc:0.99566	validation-auc:0.99555
[176]	train-auc:0.99630	test-auc:0.99567	validation-auc:0.99556
[177]	train-auc:0.99630	test-auc:0.99567	validation-auc:0.99556
[178]	train-auc:0.99631	test-auc:0.99568	validation-auc:0.99557
[179]	train-auc:0.99632	test-auc:0.99569	validation-auc:0.99557
[180]	train-auc:0.99632	test-auc:0.99569	validation-auc:0.99557
[181]	train-auc:0.99633	test-auc:0.99569	validation-auc:0.99558
[182]	train-auc:0.99634	test-auc:0.99570	validation-auc:0.99559
[183]	train-auc:0.99634	test-auc:0.99570	validation-auc:0.99559
[184]	train-auc:0.99635	test-auc:0.99571	validation-auc:0.99559
[185]	train-auc:0.99635	test-auc:0.99571	validation-auc:0.99560
[186]	train-auc:0.99636	test-auc:0.99571	validation-auc:0.99560
[187]	train-auc:0.99637	test-auc:0.99572	validation-auc:0.99561
[188]	train-auc:0.99637	test-auc:0.99572	validation-auc:0.99561
[189]	train-auc:0.99638	test-auc:0.99573	validation-auc:0.99561
[190]	train-auc:0.99638	test-auc:0.99573	validation-auc:0.99562
[191]	train-auc:0.99640	test-auc:0.99574	validation-auc:0.99563
[192]	train-auc:0.99640	test-auc:0.99575	validation-auc:0.99564
[193]	train-auc:0.99641	test-auc:0.99575	validation-auc:0.99564
[194]	train-auc:0.99642	test-auc:0.99576	validation-auc:0.99565
[195]	train-auc:0.99642	test-auc:0.99576	validation-auc:0.99565
[196]	train-auc:0.99643	test-auc:0.99577	validation-auc:0.99566
[197]	train-auc:0.99643	test-auc:0.99577	validation-auc:0.99566
[198]	train-auc:0.99644	test-auc:0.99578	validation-auc:0.99567
[199]	train-auc:0.99645	test-auc:0.99578	validation-auc:0.99567
[200]	train-auc:0.99646	test-auc:0.99579	validation-auc:0.99568
[201]	train-auc:0.99647	test-auc:0.99580	validation-auc:0.99569
[202]	train-auc:0.99647	test-auc:0.99581	validation-auc:0.99569
[203]	train-auc:0.99648	test-auc:0.99581	validation-auc:0.99570
[204]	train-auc:0.99648	test-auc:0.99581	validation-auc:0.99570
[205]	train-auc:0.99649	test-auc:0.99582	validation-auc:0.99571
[206]	train-auc:0.99649	test-auc:0.99582	validation-auc:0.99571
[207]	train-auc:0.99650	test-auc:0.99582	validation-auc:0.99571
[208]	train-auc:0.99650	test-auc:0.99583	validation-auc:0.99572
[209]	train-auc:0.99651	test-auc:0.99584	validation-auc:0.99572
[210]	train-auc:0.99652	test-auc:0.99584	validation-auc:0.99572
[211]	train-auc:0.99652	test-auc:0.99585	validation-auc:0.99572
[212]	train-auc:0.99652	test-auc:0.99585	validation-auc:0.99573
[213]	train-auc:0.99653	test-auc:0.99585	validation-auc:0.99573
[214]	train-auc:0.99653	test-auc:0.99585	validation-auc:0.99573
[215]	train-auc:0.99654	test-auc:0.99585	validation-auc:0.99573
[216]	train-auc:0.99654	test-auc:0.99586	validation-auc:0.99574
[217]	train-auc:0.99655	test-auc:0.99586	validation-auc:0.99574
[218]	train-auc:0.99655	test-auc:0.99587	validation-auc:0.99574
[219]	train-auc:0.99656	test-auc:0.99587	validation-auc:0.99575
[220]	train-auc:0.99656	test-auc:0.99587	validation-auc:0.99575
[221]	train-auc:0.99657	test-auc:0.99588	validation-auc:0.99575
[222]	train-auc:0.99657	test-auc:0.99588	validation-auc:0.99576
[223]	train-auc:0.99657	test-auc:0.99588	validation-auc:0.99576
[224]	train-auc:0.99658	test-auc:0.99588	validation-auc:0.99576
[225]	train-auc:0.99658	test-auc:0.99589	validation-auc:0.99577
[226]	train-auc:0.99659	test-auc:0.99589	validation-auc:0.99577
[227]	train-auc:0.99659	test-auc:0.99589	validation-auc:0.99577
[228]	train-auc:0.99660	test-auc:0.99590	validation-auc:0.99577
[229]	train-auc:0.99660	test-auc:0.99590	validation-auc:0.99578
[230]	train-auc:0.99661	test-auc:0.99591	validation-auc:0.99578
[231]	train-auc:0.99661	test-auc:0.99591	validation-auc:0.99579
[232]	train-auc:0.99662	test-auc:0.99591	validation-auc:0.99579
[233]	train-auc:0.99662	test-auc:0.99591	validation-auc:0.99579
[234]	train-auc:0.99662	test-auc:0.99591	validation-auc:0.99579
[235]	train-auc:0.99663	test-auc:0.99592	validation-auc:0.99580
[236]	train-auc:0.99663	test-auc:0.99592	validation-auc:0.99580
[237]	train-auc:0.99664	test-auc:0.99592	validation-auc:0.99580
[238]	train-auc:0.99664	test-auc:0.99592	validation-auc:0.99580
[239]	train-auc:0.99665	test-auc:0.99593	validation-auc:0.99581
[240]	train-auc:0.99665	test-auc:0.99593	validation-auc:0.99581
[241]	train-auc:0.99665	test-auc:0.99593	validation-auc:0.99581
[242]	train-auc:0.99666	test-auc:0.99594	validation-auc:0.99581
[243]	train-auc:0.99666	test-auc:0.99594	validation-auc:0.99582
[244]	train-auc:0.99667	test-auc:0.99594	validation-auc:0.99582
[245]	train-auc:0.99667	test-auc:0.99594	validation-auc:0.99582
[246]	train-auc:0.99667	test-auc:0.99594	validation-auc:0.99582
[247]	train-auc:0.99667	test-auc:0.99594	validation-auc:0.99582
[248]	train-auc:0.99668	test-auc:0.99595	validation-auc:0.99583
[249]	train-auc:0.99668	test-auc:0.99595	validation-auc:0.99583
[250]	train-auc:0.99669	test-auc:0.99595	validation-auc:0.99583
[251]	train-auc:0.99669	test-auc:0.99596	validation-auc:0.99584
[252]	train-auc:0.99670	test-auc:0.99596	validation-auc:0.99584
[253]	train-auc:0.99670	test-auc:0.99596	validation-auc:0.99584
[254]	train-auc:0.99670	test-auc:0.99596	validation-auc:0.99585
[255]	train-auc:0.99671	test-auc:0.99596	validation-auc:0.99585
[256]	train-auc:0.99671	test-auc:0.99597	validation-auc:0.99585
[257]	train-auc:0.99672	test-auc:0.99597	validation-auc:0.99586
[258]	train-auc:0.99672	test-auc:0.99597	validation-auc:0.99586
[259]	train-auc:0.99673	test-auc:0.99598	validation-auc:0.99586
[260]	train-auc:0.99673	test-auc:0.99598	validation-auc:0.99587
[261]	train-auc:0.99674	test-auc:0.99598	validation-auc:0.99587
[262]	train-auc:0.99674	test-auc:0.99599	validation-auc:0.99587
[263]	train-auc:0.99674	test-auc:0.99599	validation-auc:0.99587
[264]	train-auc:0.99675	test-auc:0.99599	validation-auc:0.99587
[265]	train-auc:0.99675	test-auc:0.99599	validation-auc:0.99587
[266]	train-auc:0.99675	test-auc:0.99599	validation-auc:0.99588
[267]	train-auc:0.99676	test-auc:0.99600	validation-auc:0.99588
[268]	train-auc:0.99676	test-auc:0.99600	validation-auc:0.99588
[269]	train-auc:0.99676	test-auc:0.99601	validation-auc:0.99589
[270]	train-auc:0.99677	test-auc:0.99601	validation-auc:0.99589
[271]	train-auc:0.99677	test-auc:0.99601	validation-auc:0.99589
[272]	train-auc:0.99677	test-auc:0.99601	validation-auc:0.99589
[273]	train-auc:0.99678	test-auc:0.99601	validation-auc:0.99589
[274]	train-auc:0.99678	test-auc:0.99601	validation-auc:0.99590
[275]	train-auc:0.99678	test-auc:0.99602	validation-auc:0.99590
[276]	train-auc:0.99679	test-auc:0.99602	validation-auc:0.99590
[277]	train-auc:0.99679	test-auc:0.99602	validation-auc:0.99590
[278]	train-auc:0.99680	test-auc:0.99603	validation-auc:0.99591
[279]	train-auc:0.99680	test-auc:0.99603	validation-auc:0.99591
[280]	train-auc:0.99680	test-auc:0.99603	validation-auc:0.99591
[281]	train-auc:0.99681	test-auc:0.99603	validation-auc:0.99591
[282]	train-auc:0.99681	test-auc:0.99604	validation-auc:0.99592
[283]	train-auc:0.99681	test-auc:0.99604	validation-auc:0.99592
[284]	train-auc:0.99682	test-auc:0.99604	validation-auc:0.99592
[285]	train-auc:0.99682	test-auc:0.99604	validation-auc:0.99592
[286]	train-auc:0.99682	test-auc:0.99604	validation-auc:0.99592
[287]	train-auc:0.99682	test-auc:0.99604	validation-auc:0.99592
[288]	train-auc:0.99683	test-auc:0.99605	validation-auc:0.99593
[289]	train-auc:0.99683	test-auc:0.99605	validation-auc:0.99593
[290]	train-auc:0.99683	test-auc:0.99605	validation-auc:0.99593
[291]	train-auc:0.99684	test-auc:0.99605	validation-auc:0.99593
[292]	train-auc:0.99684	test-auc:0.99606	validation-auc:0.99594
[293]	train-auc:0.99684	test-auc:0.99606	validation-auc:0.99594
[294]	train-auc:0.99685	test-auc:0.99606	validation-auc:0.99594
[295]	train-auc:0.99685	test-auc:0.99606	validation-auc:0.99595
[296]	train-auc:0.99685	test-auc:0.99607	validation-auc:0.99595
[297]	train-auc:0.99686	test-auc:0.99607	validation-auc:0.99595
[298]	train-auc:0.99686	test-auc:0.99607	validation-auc:0.99595
[299]	train-auc:0.99686	test-auc:0.99607	validation-auc:0.99595
[300]	train-auc:0.99687	test-auc:0.99607	validation-auc:0.99595
[301]	train-auc:0.99687	test-auc:0.99608	validation-auc:0.99595
[302]	train-auc:0.99687	test-auc:0.99608	validation-auc:0.99595
[303]	train-auc:0.99688	test-auc:0.99608	validation-auc:0.99596
[304]	train-auc:0.99688	test-auc:0.99608	validation-auc:0.99596
[305]	train-auc:0.99688	test-auc:0.99608	validation-auc:0.99596
[306]	train-auc:0.99689	test-auc:0.99609	validation-auc:0.99597
[307]	train-auc:0.99689	test-auc:0.99609	validation-auc:0.99597
[308]	train-auc:0.99689	test-auc:0.99609	validation-auc:0.99597
[309]	train-auc:0.99689	test-auc:0.99609	validation-auc:0.99597
[310]	train-auc:0.99690	test-auc:0.99610	validation-auc:0.99597
[311]	train-auc:0.99690	test-auc:0.99610	validation-auc:0.99597
[312]	train-auc:0.99690	test-auc:0.99610	validation-auc:0.99597
[313]	train-auc:0.99691	test-auc:0.99610	validation-auc:0.99598
